D15	0.83
B16	Profundidad de penetrómetro
C16	Golpeo DPSH
D16	Golpeo NB
E16	MEDIDA DE PAR
F16	N.F.
G16	Niveles
B17	0
C17	0
D17	0
B18	-0.2
C18	0
D18	0
B19	-0.4
C19	6
D19	7.228915662650603
B20	-0.6
C20	7
D20	8.433734939759036
B21	-0.8
C21	8
D21	9.63855421686747
E21	SPT1
B22	-1
C22	18
D22	21.686746987951807
E22	0,80-1,40m
B23	-1.2
C23	24
D23	28.91566265060241
E23	13/10/14/24
B24	-1.4
C24	77
D24	92.77108433734941
B25	-1.6
C25	100
D25	120.48192771084338
B26	-1.8
B27	-2
B28	-2.2
B29	-2.4
B30	-2.6
B31	-2.8
B32	-3
B33	-3.2
B34	-3.4
B35	-3.6
B36	-3.8
B37	-4
B38	-4.2
B39	-4.4
B40	-4.6
B41	-4.8
B42	-5
B43	-5.2
B44	-5.4
B45	-5.6
B46	-5.8
B47	-6
B48	-6.2
B49	-6.4
B50	-6.6
B51	-6.8
B52	-7
B53	-7.2
B54	-7.4
B55	-7.6
B56	-7.8
B57	-8
B58	-8.2
B59	-8.4
B60	-8.6
B61	-8.8
B62	-9
B63	-9.2
B64	-9.4
B65	-9.6
B66	-9.8
B67	-10
B68	-10.2
B69	-10.4
B70	-10.6
B71	-10.8
B72	-11
B73	-11.2
B74	-11.4
B75	-11.6
B76	-11.8
B77	-12
C79	Nivel 1
F79	Nivel 2
B80	Rechazo a la penetración: -1,48 m
